TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 285.81487
PSUR = 1017.24
boresightNadirAngle = 0.
latitude = -39.245551
longitude = 180.71173
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  29  74.9896000   17.88433700 2.1413E2 3.9759E-6 3.8E-4 7.4108E-7 3.0647E-7 4.8772E-8 1.6749E-6 1.E-20 1.9410E-10 7.8130E-11 6.8036E-10 1.E-20
  30  68.1295000   18.48957300 2.1452E2 3.9654E-6 3.8E-4 9.0768E-7 3.0339E-7 4.4665E-8 1.6621E-6 1.E-20 2.0331E-10 9.3597E-11 8.0613E-10 1.E-20
  31  61.8963000   19.09621400 2.1499E2 3.9609E-6 3.8E-4 1.1035E-6 2.9974E-7 4.0492E-8 1.6475E-6 1.E-20 2.1615E-10 1.1353E-10 9.7002E-10 1.E-20
  32  56.2339000   19.70464100 2.1574E2 3.9836E-6 3.8E-4 1.3859E-6 2.9533E-7 3.5177E-8 1.6306E-6 1.E-20 2.2796E-10 1.4091E-10 1.1291E-9  1.E-20
  33  51.0896000   20.31532600 2.1651E2 4.0117E-6 3.8E-4 1.7616E-6 2.9016E-7 3.0474E-8 1.6114E-6 1.E-20 2.4260E-10 1.7853E-10 1.3309E-9  1.E-20
  34  46.4158000   20.92832300 2.1728E2 4.0658E-6 3.8E-4 2.3701E-6 2.7949E-7 2.6361E-8 1.5761E-6 1.E-20 2.7671E-10 2.5750E-10 1.7045E-9  1.E-20
  35  42.1696000   21.54353100 2.1799E2 4.1220E-6 3.8E-4 3.0717E-6 2.7033E-7 2.3262E-8 1.5463E-6 1.E-20 3.1955E-10 3.5931E-10 2.0991E-9  1.E-20
  36  38.3119000   22.16063400 2.1854E2 4.1833E-6 3.8E-4 3.5106E-6 2.6477E-7 2.1784E-8 1.5313E-6 1.E-20 3.8239E-10 4.5067E-10 2.2908E-9  1.E-20
  37  34.8071000   22.77936000 2.1905E2 4.2424E-6 3.8E-4 4.0369E-6 2.5734E-7 2.0801E-8 1.5125E-6 1.E-20 4.6583E-10 5.7798E-10 2.5345E-9  1.E-20
  38  31.6229000   23.39955700 2.1949E2 4.2960E-6 3.8E-4 4.7034E-6 2.4627E-7 2.0660E-8 1.4856E-6 1.E-20 5.8830E-10 7.7600E-10 2.8865E-9  1.E-20
  39  28.7299000   24.02118700 2.1996E2 4.3470E-6 3.8E-4 5.3580E-6 2.3636E-7 2.0733E-8 1.4619E-6 1.E-20 7.4605E-10 1.0223E-9  3.2091E-9  1.E-20
  40  26.1017000   24.64432100 2.2049E2 4.3928E-6 3.8E-4 5.8471E-6 2.2801E-7 2.1197E-8 1.4429E-6 1.E-20 9.5317E-10 1.2985E-9  3.4052E-9  1.E-20
  41  23.7136000   25.26922600 2.2106E2 4.4391E-6 3.8E-4 6.2920E-6 2.1796E-7 2.1715E-8 1.4221E-6 1.E-20 1.2306E-9  1.6459E-9  3.5999E-9  1.E-20
  42  21.5443000   25.89593100 2.2174E2 4.4862E-6 3.8E-4 6.5813E-6 2.0459E-7 2.2333E-8 1.3975E-6 1.E-20 1.6232E-9  2.0778E-9  3.7788E-9  1.E-20
