TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 296.53107
PSUR = 1003.04
boresightNadirAngle = 0.
latitude = -14.938657
longitude = 170.28582
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1003.0400000 0.000000000  2.9817E2 2.6434E-2 3.8E-4 1.6847E-8 3.1193E-7  7.6170E-8 1.6267E-6 1.E-20 2.8281E-12 5.9985E-12 1.2628E-11 1.E-20
  2   1000.0000000 0.026736446  2.9799E2 2.6227E-2 3.8E-4 1.6859E-8 3.1195E-7  7.6111E-8 1.6271E-6 1.E-20 2.8044E-12 5.9156E-12 1.2688E-11 1.E-20
  3   908.5140000  0.862667290  2.9233E2 2.0459E-2 3.8E-4 1.7244E-8 3.1258E-7  7.4277E-8 1.6410E-6 1.E-20 2.1492E-12 3.8097E-12 1.4730E-11 1.E-20
  4   825.4020000  1.682390900  2.8763E2 1.4880E-2 3.8E-4 2.2427E-8 3.1317E-7  7.6904E-8 1.6491E-6 1.E-20 3.3453E-12 5.1922E-12 7.8202E-11 1.E-20
  5   749.8930000  2.489565000  2.8471E2 7.0956E-3 3.8E-4 3.7952E-8 3.1392E-7  8.6531E-8 1.6697E-6 1.E-20 9.4577E-12 1.5429E-11 2.4572E-10 1.E-20
  6   681.2910000  3.287085800  2.8189E2 2.9286E-3 3.8E-4 5.7857E-8 3.1453E-7  9.6659E-8 1.6906E-6 1.E-20 2.3991E-11 4.0768E-11 4.5554E-10 1.E-20
  7   618.9660000  4.074553300  2.7803E2 1.4324E-3 3.8E-4 6.2143E-8 3.1472E-7  1.0234E-7 1.6973E-6 1.E-20 4.0344E-11 5.9402E-11 3.7228E-10 1.E-20
  8   562.3420000  4.850209300  2.7355E2 1.0086E-3 3.8E-4 6.2701E-8 3.1478E-7  1.0903E-7 1.7089E-6 1.E-20 3.9226E-11 4.8770E-11 2.6453E-10 1.E-20
  9   510.8980000  5.613077000  2.6887E2 7.9399E-4 3.8E-4 6.1354E-8 3.1480E-7  1.1535E-7 1.7202E-6 1.E-20 3.3068E-11 3.4224E-11 1.8005E-10 1.E-20
  10  464.1600000  6.362383700  2.6380E2 8.0875E-4 3.8E-4 5.1359E-8 3.1485E-7  1.1202E-7 1.7140E-6 1.E-20 2.8170E-11 2.1274E-11 1.1726E-10 1.E-20
  11  421.6980000  7.097577700  2.5872E2 7.9779E-4 3.8E-4 4.3320E-8 3.1490E-7  1.0881E-7 1.7074E-6 1.E-20 2.6502E-11 1.4598E-11 7.9089E-11 1.E-20
  12  383.1170000  7.818639400  2.5360E2 7.0656E-4 3.8E-4 3.6906E-8 3.1496E-7  1.0574E-7 1.7000E-6 1.E-20 2.8956E-11 1.1646E-11 5.5692E-11 1.E-20
