TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 275.99756
PSUR = 1014.41
boresightNadirAngle = 0.
latitude = -48.90103
longitude = 186.48939
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  39  28.7299000   23.54209600 2.1688E2 4.5249E-6 3.8E-4 5.0928E-6 1.8195E-7  2.0099E-8 1.2941E-6 1.E-20 9.8832E-10 1.4977E-9  5.7636E-9  1.E-20
  40  26.1017000   24.15616900 2.1723E2 4.5741E-6 3.8E-4 5.2738E-6 1.7191E-7  2.0438E-8 1.2756E-6 1.E-20 1.2910E-9  1.8480E-9  5.8967E-9  1.E-20
  41  23.7136000   24.77151200 2.1763E2 4.6249E-6 3.8E-4 5.4398E-6 1.6142E-7  2.0649E-8 1.2545E-6 1.E-20 1.6711E-9  2.2539E-9  5.9885E-9  1.E-20
  42  21.5443000   25.38814400 2.1812E2 4.6785E-6 3.8E-4 5.5667E-6 1.4965E-7  2.0593E-8 1.2279E-6 1.E-20 2.1176E-9  2.6768E-9  5.9787E-9  1.E-20
  43  19.5734000   26.00632700 2.1863E2 4.7359E-6 3.8E-4 5.7020E-6 1.3827E-7  2.0411E-8 1.2016E-6 1.E-20 2.6536E-9  3.1510E-9  5.9384E-9  1.E-20
  44  17.7828000   26.62620400 2.1923E2 4.8034E-6 3.8E-4 5.8543E-6 1.2645E-7  1.9867E-8 1.1750E-6 1.E-20 3.2165E-9  3.6135E-9  5.8095E-9  1.E-20
  45  16.1560000   27.24790400 2.1983E2 4.8738E-6 3.8E-4 6.0146E-6 1.1553E-7  1.9379E-8 1.1485E-6 1.E-20 3.8746E-9  4.1250E-9  5.6674E-9  1.E-20
  46  14.6780000   27.87153600 2.2050E2 4.9578E-6 3.8E-4 6.2076E-6 1.0407E-7  1.9149E-8 1.1194E-6 1.E-20 4.4691E-9  4.5602E-9  5.4186E-9  1.E-20
  47  13.3352000   28.49719400 2.2117E2 5.0434E-6 3.8E-4 6.4068E-6 9.3748E-8  1.8927E-8 1.0911E-6 1.E-20 5.1552E-9  5.0415E-9  5.1811E-9  1.E-20
  48  12.1153000   29.12494400 2.2191E2 5.1373E-6 3.8E-4 6.5618E-6 7.7858E-8  1.8766E-8 1.0400E-6 1.E-20 5.7893E-9  5.4163E-9  4.8333E-9  1.E-20
  49  11.0070000   29.75491400 2.2265E2 5.2333E-6 3.8E-4 6.7179E-6 6.4356E-8  1.8609E-8 9.9027E-7 1.E-20 6.4942E-9  5.8102E-9  4.5028E-9  1.E-20
  50  10.0000000   30.38723400 2.2344E2 5.3268E-6 3.8E-4 6.9048E-6 5.3357E-8  1.8321E-8 9.3351E-7 1.E-20 7.0352E-9  6.0456E-9  4.0310E-9  1.E-20
  51  9.0851400    31.02195400 2.2426E2 5.4203E-6 3.8E-4 7.1087E-6 4.4297E-8  1.7984E-8 8.7673E-7 1.E-20 7.5149E-9  6.2134E-9  3.5512E-9  1.E-20
  52  8.2540200    31.65914900 2.2512E2 5.5081E-6 3.8E-4 7.2932E-6 3.5449E-8  1.7712E-8 8.1556E-7 1.E-20 7.9041E-9  6.2660E-9  3.0701E-9  1.E-20
  53  7.4989300    32.29902500 2.2606E2 5.5875E-6 3.8E-4 7.4472E-6 2.7036E-8  1.7522E-8 7.4899E-7 1.E-20 8.1419E-9  6.1609E-9  2.5876E-9  1.E-20
  54  6.8129100    32.94173200 2.2702E2 5.6661E-6 3.8E-4 7.6006E-6 2.0642E-8  1.7340E-8 6.8688E-7 1.E-20 8.3733E-9  6.0409E-9  2.1731E-9  1.E-20
  55  6.1896600    33.58762100 2.2822E2 5.7270E-6 3.8E-4 7.7177E-6 1.5662E-8  1.7221E-8 6.2064E-7 1.E-20 8.4708E-9  5.7634E-9  1.7605E-9  1.E-20
  56  5.6234200    34.23705400 2.2942E2 5.7885E-6 3.8E-4 7.8368E-6 1.1884E-8  1.7103E-8 5.6080E-7 1.E-20 8.5702E-9  5.4988E-9  1.4264E-9  1.E-20
  57  5.1089800    34.89046600 2.3093E2 5.8364E-6 3.8E-4 7.8697E-6 9.5690E-9  1.7132E-8 5.1925E-7 1.E-20 8.6280E-9  5.1203E-9  1.1396E-9  1.E-20
  58  4.6416000    35.54850000 2.3258E2 5.8785E-6 3.8E-4 7.8657E-6 7.9019E-9  1.7227E-8 4.8580E-7 1.E-20 8.6678E-9  4.7192E-9  9.0498E-10 1.E-20
  59  4.2169800    36.21155000 2.3437E2 5.9163E-6 3.8E-4 7.8194E-6 6.7793E-9  1.7467E-8 4.6030E-7 1.E-20 8.7414E-9  4.3245E-9  7.1620E-10 1.E-20
  60  3.8311700    36.88045400 2.3656E2 5.9413E-6 3.8E-4 7.6569E-6 6.4754E-9  1.8114E-8 4.5191E-7 1.E-20 8.9112E-9  3.8991E-9  5.6127E-10 1.E-20
  61  3.4806900    37.55566900 2.3876E2 5.9664E-6 3.8E-4 7.4978E-6 6.1925E-9  1.8786E-8 4.4372E-7 1.E-20 9.0842E-9  3.5155E-9  4.3987E-10 1.E-20
  62  3.1622700    38.23771000 2.4126E2 5.9814E-6 3.8E-4 7.1605E-6 6.2140E-9  1.9740E-8 4.4319E-7 1.E-20 9.5235E-9  3.1538E-9  3.4221E-10 1.E-20
  63  2.8729800    38.92714400 2.4386E2 5.9933E-6 3.8E-4 6.7876E-6 6.3243E-9  2.0826E-8 4.4492E-7 1.E-20 1.0068E-8  2.8252E-9  2.6566E-10 1.E-20
  64  2.6101600    39.62407400 2.4644E2 6.0034E-6 3.8E-4 6.4022E-6 6.4388E-9  2.2004E-8 4.4717E-7 1.E-20 1.0637E-8  2.5014E-9  2.0387E-10 1.E-20
  65  2.3713700    40.32843300 2.4895E2 6.0069E-6 3.8E-4 5.9364E-6 6.5631E-9  2.3366E-8 4.5120E-7 1.E-20 1.1213E-8  2.1274E-9  1.5041E-10 1.E-20
  66  2.1544300    41.04008600 2.5147E2 6.0104E-6 3.8E-4 5.5046E-6 6.6900E-9  2.4811E-8 4.5528E-7 1.E-20 1.1819E-8  1.8094E-9  1.1096E-10 1.E-20
  67  1.9573400    41.75851000 2.5361E2 6.0118E-6 3.8E-4 5.0758E-6 6.7065E-9  2.6260E-8 4.5699E-7 1.E-20 1.2241E-8  1.4774E-9  7.9015E-11 1.E-20
  68  1.7782800    42.48285900 2.5552E2 6.0118E-6 3.8E-4 4.6652E-6 6.6578E-9  2.7741E-8 4.5730E-7 1.E-20 1.2546E-8  1.1777E-9  5.5109E-11 1.E-20
  69  1.6156000    43.21282400 2.5744E2 6.0118E-6 3.8E-4 4.2877E-6 6.6096E-9  2.9305E-8 4.5761E-7 1.E-20 1.2860E-8  9.3884E-10 3.8437E-11 1.E-20
  70  1.4678000    43.94733700 2.5859E2 6.0103E-6 3.8E-4 3.9317E-6 6.4992E-9  3.0693E-8 4.5689E-7 1.E-20 1.2894E-8  7.2445E-10 2.6552E-11 1.E-20
  71  1.3335200    44.68528600 2.5973E2 6.0089E-6 3.8E-4 3.6051E-6 6.3896E-9  3.2142E-8 4.5615E-7 1.E-20 1.2923E-8  5.5870E-10 1.8339E-11 1.E-20
  72  1.2115300    45.42628800 2.6064E2 6.0056E-6 3.8E-4 3.3071E-6 6.2794E-9  3.3736E-8 4.5623E-7 1.E-20 1.2942E-8  4.3171E-10 1.2770E-11 1.E-20
  73  1.1006900    46.16926700 2.6095E2 5.9979E-6 3.8E-4 3.0367E-6 6.1653E-9  3.5614E-8 4.5839E-7 1.E-20 1.2937E-8  3.3522E-10 9.0783E-12 1.E-20
  74  1.0000000    46.91322700 2.6126E2 5.9902E-6 3.8E-4 2.7886E-6 6.0540E-9  3.7601E-8 4.6057E-7 1.E-20 1.2932E-8  2.6031E-10 6.4540E-12 1.E-20
  75  0.8254040    48.40092700 2.6073E2 5.9469E-6 3.8E-4 2.3747E-6 5.7262E-9  4.0751E-8 4.6085E-7 1.E-20 1.2725E-8  1.5910E-10 3.3453E-12 1.E-20
  76  0.6812920    49.88586400 2.6005E2 5.9107E-6 3.8E-4 2.0226E-6 5.1129E-9  4.4977E-8 4.5568E-7 1.E-20 1.2105E-8  9.6458E-11 1.7039E-12 1.E-20
  77  0.5623410    51.36858400 2.5971E2 5.9015E-6 3.8E-4 1.7143E-6 4.1724E-9  5.2255E-8 4.4342E-7 1.E-20 1.0949E-8  5.7254E-11 8.3089E-13 1.E-20
  78  0.4641590    52.84901000 2.5901E2 5.9278E-6 3.8E-4 1.4554E-6 4.2900E-9  5.2464E-8 4.5182E-7 1.E-20 1.1008E-8  3.9149E-11 4.7779E-13 1.E-20
  79  0.3831180    54.32508600 2.5794E2 5.9352E-6 3.8E-4 1.2388E-6 4.5064E-9  5.4088E-8 4.6511E-7 1.E-20 1.0949E-8  2.6910E-11 2.8438E-13 1.E-20
  80  0.3162290    55.79395500 2.5627E2 5.9025E-6 3.8E-4 1.0590E-6 4.7108E-9  5.9681E-8 4.8390E-7 1.E-20 1.0478E-8  1.8213E-11 1.7523E-13 1.E-20
  81  0.2610170    57.25281400 2.5419E2 5.8731E-6 3.8E-4 9.0281E-7 4.1333E-9  6.7290E-8 4.7946E-7 1.E-20 9.0090E-9  1.1456E-11 9.8016E-14 1.E-20
  82  0.2154430    58.69964500 2.5181E2 5.8461E-6 3.8E-4 7.6809E-7 3.2026E-9  7.7043E-8 4.5890E-7 1.E-20 7.1817E-9  6.8427E-12 5.1182E-14 1.E-20
  83  0.1778280    60.13289500 2.4924E2 5.6833E-6 3.8E-4 6.4966E-7 2.1810E-9  1.0204E-7 4.1903E-7 1.E-20 4.9575E-9  3.7216E-12 2.2631E-14 1.E-20
  84  0.1467800    61.55166200 2.4652E2 5.4248E-6 3.8E-4 5.4701E-7 1.3438E-9  1.5132E-7 3.6890E-7 1.E-20 3.0603E-9  1.8817E-12 8.7978E-15 1.E-20
  85  0.1211530    62.95641600 2.4413E2 5.0980E-6 3.8E-4 4.5684E-7 8.7409E-10 2.3144E-7 3.1782E-7 1.E-20 1.8993E-9  9.7917E-13 3.4888E-15 1.E-20
  86  0.0999995    64.35038800 2.4252E2 4.6178E-6 3.8E-4 3.7425E-7 6.4527E-10 3.8104E-7 2.6040E-7 1.E-20 1.1936E-9  5.4526E-13 1.4483E-15 1.E-20
