TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 590.58826
ScalePressure = 0.1
ConvertToOD = 1.3786548
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000        34.561840
       650.00000        33.263130
       700.00000        31.471636
       750.00000        28.271366
       800.00000        23.628452
       850.00000        19.354267
       900.00000        17.408287
       950.00000        18.659143
       975.00000        20.811758
       1000.0000        24.580889
       1025.0000        31.654282
       1050.0000        37.421112
       1075.0000        35.790180
       1100.0000        32.373764
       1150.0000        33.726833
       1200.0000        37.689102
       1250.0000        40.818325
       1300.0000        43.266167
       1350.0000        45.469952
       1400.0000        47.461823
       1900.0000        55.660851
       2000.0000        56.328487
       2100.0000        56.188850
       2200.0000        55.888470
       2250.0000        55.738277
