TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 850.
ScalePressure = 0.1
ConvertToOD = 1.4574868
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000       0.87179863
       650.00000       0.83903956
       700.00000       0.79385036
       750.00000       0.71312577
       800.00000       0.59601146
       850.00000       0.48819807
       900.00000       0.43911207
       950.00000       0.47066405
       975.00000       0.52496225
       1000.0000       0.62003601
       1025.0000       0.79845750
       1050.0000       0.94392180
       1075.0000       0.90278262
       1100.0000       0.81660593
       1150.0000       0.85073614
       1200.0000       0.95068163
       1250.0000        1.0296142
       1300.0000        1.0913593
       1350.0000        1.1469482
       1400.0000        1.1971918
       1900.0000        1.4040066
       2000.0000        1.4208473
       2100.0000        1.4173250
       2200.0000        1.4097482
       2250.0000        1.4059597
