TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 715.54456
ScalePressure = 0.1
ConvertToOD = 1.4400592
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000       0.28952089
       650.00000       0.27864173
       700.00000       0.26363456
       750.00000       0.23682624
       800.00000       0.19793305
       850.00000       0.16212866
       900.00000       0.14582738
       950.00000       0.15630567
       975.00000       0.17433789
       1000.0000       0.20591152
       1025.0000       0.26516458
       1050.0000       0.31347272
       1075.0000       0.29981056
       1100.0000       0.27119160
       1150.0000       0.28252611
       1200.0000       0.31571761
       1250.0000       0.34193081
       1300.0000       0.36243612
       1350.0000       0.38089699
       1400.0000       0.39758268
       1900.0000       0.46626508
       2000.0000       0.47185782
       2100.0000       0.47068807
       2200.0000       0.46817181
       2250.0000       0.46691367
