TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 312.03708
PSUR = 1010.16
boresightNadirAngle = 0.
latitude = -24.678058
longitude = 173.86199
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1010.1600000 0.000000000  2.9332E2 1.7427E-2 3.8E-4 3.4673E-8 3.1293E-7 8.7767E-8 1.6240E-6 1.E-20 2.6076E-12 8.7300E-12 6.4233E-11 1.E-20
  2   1000.0000000 0.087225856  2.9261E2 1.7455E-2 3.8E-4 3.5416E-8 3.1292E-7 8.7864E-8 1.6244E-6 1.E-20 2.6081E-12 8.7729E-12 6.9546E-11 1.E-20
  3   908.5140000  0.904149980  2.8600E2 1.3183E-2 3.8E-4 3.9239E-8 3.1305E-7 8.8397E-8 1.6322E-6 1.E-20 3.0506E-12 8.8580E-12 1.0174E-10 1.E-20
  4   825.4020000  1.705623800  2.8281E2 5.5371E-3 3.8E-4 5.7351E-8 3.1331E-7 9.0936E-8 1.6555E-6 1.E-20 7.4550E-12 2.1252E-11 2.3205E-10 1.E-20
  5   749.8930000  2.499468500  2.8167E2 1.4398E-3 3.8E-4 7.0582E-8 3.1362E-7 9.9117E-8 1.6747E-6 1.E-20 1.9842E-11 4.8090E-11 3.3747E-10 1.E-20
  6   681.2910000  3.288181000  2.7951E2 7.3339E-4 3.8E-4 7.0266E-8 3.1404E-7 1.0598E-7 1.6868E-6 1.E-20 3.2926E-11 6.1785E-11 3.2250E-10 1.E-20
  7   618.9660000  4.067783800  2.7508E2 1.2348E-3 3.8E-4 6.0106E-8 3.1460E-7 1.0671E-7 1.6932E-6 1.E-20 2.9831E-11 4.2439E-11 2.3412E-10 1.E-20
  8   562.3420000  4.833596100  2.6950E2 1.3590E-3 3.8E-4 5.7307E-8 3.1469E-7 1.0813E-7 1.7025E-6 1.E-20 2.3792E-11 2.7410E-11 1.6979E-10 1.E-20
  9   510.8980000  5.583794200  2.6384E2 1.3604E-3 3.8E-4 5.4889E-8 3.1471E-7 1.0864E-7 1.7089E-6 1.E-20 1.8611E-11 1.7390E-11 1.2806E-10 1.E-20
  10  464.1600000  6.319013800  2.5875E2 1.1443E-3 3.8E-4 4.8881E-8 3.1468E-7 1.0374E-7 1.6969E-6 1.E-20 1.4743E-11 1.0672E-11 1.1500E-10 1.E-20
  11  421.6980000  7.039941900  2.5361E2 9.3297E-4 3.8E-4 4.2950E-8 3.1471E-7 1.0079E-7 1.6888E-6 1.E-20 1.2790E-11 7.1066E-12 9.6992E-11 1.E-20
  12  383.1170000  7.746519800  2.4843E2 7.3240E-4 3.8E-4 3.7064E-8 3.1483E-7 9.9852E-8 1.6849E-6 1.E-20 1.2333E-11 5.1787E-12 7.6208E-11 1.E-20
  13  348.0690000  8.438738500  2.4338E2 5.6878E-4 3.8E-4 3.8377E-8 3.1488E-7 1.0137E-7 1.6845E-6 1.E-20 1.5360E-11 5.4233E-12 7.0939E-11 1.E-20
  14  316.2270000  9.116913000  2.3837E2 4.3446E-4 3.8E-4 4.2145E-8 3.1490E-7 1.0338E-7 1.6856E-6 1.E-20 2.1225E-11 6.5286E-12 7.0178E-11 1.E-20
  15  287.2980000  9.781213300  2.3345E2 2.6928E-4 3.8E-4 4.7076E-8 3.1482E-7 9.8787E-8 1.6931E-6 1.E-20 2.9700E-11 7.8215E-12 7.1979E-11 1.E-20
  16  261.0160000  10.432173000 2.2883E2 1.5935E-4 3.8E-4 5.1174E-8 3.1478E-7 9.5027E-8 1.6996E-6 1.E-20 3.9716E-11 8.8537E-12 6.9400E-11 1.E-20
  17  237.1370000  11.071044000 2.2476E2 8.6483E-5 3.8E-4 5.3142E-8 3.1480E-7 9.2513E-8 1.7042E-6 1.E-20 4.8871E-11 9.1264E-12 6.0523E-11 1.E-20
  18  215.4440000  11.699682000 2.2151E2 4.6388E-5 3.8E-4 5.6782E-8 3.1489E-7 9.4883E-8 1.7080E-6 1.E-20 5.1261E-11 8.5786E-12 5.7738E-11 1.E-20
  19  195.7350000  12.319922000 2.1870E2 2.4877E-5 3.8E-4 6.4735E-8 3.1502E-7 1.0005E-7 1.7113E-6 1.E-20 5.0001E-11 7.6692E-12 6.4583E-11 1.E-20
  20  177.8290000  12.931649000 2.1538E2 1.6207E-5 3.8E-4 7.7683E-8 3.1498E-7 1.0367E-7 1.7155E-6 1.E-20 6.0944E-11 9.1299E-12 8.3560E-11 1.E-20
  21  161.5610000  13.534354000 2.1221E2 1.0951E-5 3.8E-4 9.2107E-8 3.1491E-7 1.0379E-7 1.7199E-6 1.E-20 7.4947E-11 1.0888E-11 1.0998E-10 1.E-20
  22  146.7790000  14.129125000 2.0960E2 7.9984E-6 3.8E-4 1.0409E-7 3.1478E-7 9.3396E-8 1.7246E-6 1.E-20 9.0521E-11 1.2094E-11 1.4635E-10 1.E-20
  23  133.3520000  14.716848000 2.0721E2 6.3896E-6 3.8E-4 1.1480E-7 3.1462E-7 8.5972E-8 1.7277E-6 1.E-20 1.1003E-10 1.3171E-11 1.8177E-10 1.E-20
  24  121.1520000  15.298306000 2.0503E2 5.5305E-6 3.8E-4 1.2367E-7 3.1446E-7 8.0752E-8 1.7295E-6 1.E-20 1.3380E-10 1.4118E-11 2.1269E-10 1.E-20
  25  110.0690000  15.875007000 2.0379E2 4.9727E-6 3.8E-4 1.5085E-7 3.1408E-7 7.6721E-8 1.7290E-6 1.E-20 1.4470E-10 1.5811E-11 2.4483E-10 1.E-20
  26  100.0000000  16.448698000 2.0282E2 4.5347E-6 3.8E-4 1.8879E-7 3.1363E-7 7.3018E-8 1.7272E-6 1.E-20 1.5341E-10 1.8009E-11 2.8008E-10 1.E-20
  27  90.8518000   17.020644000 2.0246E2 4.3484E-6 3.8E-4 2.3211E-7 3.1295E-7 6.8799E-8 1.7172E-6 1.E-20 1.6763E-10 2.1200E-11 3.1699E-10 1.E-20
  28  82.5406000   17.592596000 2.0275E2 4.1820E-6 3.8E-4 2.9038E-7 3.1207E-7 6.3661E-8 1.7074E-6 1.E-20 1.9014E-10 2.6991E-11 3.6791E-10 1.E-20
  29  74.9896000   18.166830000 2.0399E2 4.0397E-6 3.8E-4 3.7287E-7 3.1089E-7 5.7327E-8 1.6978E-6 1.E-20 2.2776E-10 3.8598E-11 4.4360E-10 1.E-20
  30  68.1295000   18.746096000 2.0624E2 3.9768E-6 3.8E-4 5.9713E-7 3.0611E-7 4.9191E-8 1.6753E-6 1.E-20 2.3588E-10 6.2380E-11 6.3307E-10 1.E-20
  31  61.8963000   19.332492000 2.0891E2 3.9465E-6 3.8E-4 1.0518E-6 2.9990E-7 4.1355E-8 1.6477E-6 1.E-20 2.2967E-10 1.0645E-10 9.7173E-10 1.E-20
  32  56.2339000   19.926082000 2.1129E2 3.9629E-6 3.8E-4 1.4553E-6 2.9204E-7 3.4272E-8 1.6188E-6 1.E-20 2.3506E-10 1.4908E-10 1.2346E-9  1.E-20
  33  51.0896000   20.526335000 2.1355E2 3.9852E-6 3.8E-4 1.9615E-6 2.8420E-7 2.8650E-8 1.5904E-6 1.E-20 2.4451E-10 2.0549E-10 1.5388E-9  1.E-20
  34  46.4158000   21.131992000 2.1502E2 4.0280E-6 3.8E-4 2.4603E-6 2.7611E-7 2.5665E-8 1.5643E-6 1.E-20 2.7894E-10 2.7807E-10 1.8291E-9  1.E-20
  35  42.1696000   21.741808000 2.1641E2 4.0742E-6 3.8E-4 3.0268E-6 2.6876E-7 2.3281E-8 1.5412E-6 1.E-20 3.2011E-10 3.6994E-10 2.1189E-9  1.E-20
  36  38.3119000   22.355271000 2.1752E2 4.1296E-6 3.8E-4 3.5059E-6 2.6311E-7 2.1925E-8 1.5263E-6 1.E-20 3.7395E-10 4.6591E-10 2.2665E-9  1.E-20
  37  34.8071000   22.971968000 2.1861E2 4.1867E-6 3.8E-4 3.9954E-6 2.5766E-7 2.1003E-8 1.5120E-6 1.E-20 4.4429E-10 5.8622E-10 2.4089E-9  1.E-20
  38  31.6229000   23.591804000 2.1965E2 4.2465E-6 3.8E-4 4.3937E-6 2.5248E-7 2.0831E-8 1.4984E-6 1.E-20 5.4631E-10 7.3490E-10 2.5222E-9  1.E-20
  39  28.7299000   24.214643000 2.2063E2 4.3035E-6 3.8E-4 4.8861E-6 2.4534E-7 2.0845E-8 1.4816E-6 1.E-20 6.7771E-10 9.3742E-10 2.6727E-9  1.E-20
  40  26.1017000   24.840204000 2.2151E2 4.3546E-6 3.8E-4 5.5434E-6 2.3484E-7 2.1198E-8 1.4587E-6 1.E-20 8.5438E-10 1.2337E-9  2.8941E-9  1.E-20
  41  23.7136000   25.468387000 2.2233E2 4.4040E-6 3.8E-4 6.2244E-6 2.2487E-7 2.1767E-8 1.4387E-6 1.E-20 1.0706E-9  1.5948E-9  3.0833E-9  1.E-20
  42  21.5443000   26.098767000 2.2304E2 4.4493E-6 3.8E-4 6.8433E-6 2.1546E-7 2.2794E-8 1.4241E-6 1.E-20 1.3248E-9  1.9882E-9  3.1786E-9  1.E-20
  43  19.5734000   26.731285000 2.2374E2 4.4970E-6 3.8E-4 7.4354E-6 2.0589E-7 2.3885E-8 1.4096E-6 1.E-20 1.6487E-9  2.4642E-9  3.2769E-9  1.E-20
  44  17.7828000   27.365870000 2.2441E2 4.5511E-6 3.8E-4 7.8040E-6 1.9518E-7 2.5077E-8 1.3949E-6 1.E-20 2.0866E-9  3.0024E-9  3.3791E-9  1.E-20
  45  16.1560000   28.002497000 2.2509E2 4.6080E-6 3.8E-4 8.1617E-6 1.8425E-7 2.6251E-8 1.3791E-6 1.E-20 2.6335E-9  3.6381E-9  3.4725E-9  1.E-20
  46  14.6780000   28.641302000 2.2585E2 4.6814E-6 3.8E-4 8.3257E-6 1.6897E-7 2.6926E-8 1.3548E-6 1.E-20 3.2581E-9  4.2395E-9  3.4797E-9  1.E-20
  47  13.3352000   29.282410000 2.2662E2 4.7560E-6 3.8E-4 8.4931E-6 1.5496E-7 2.7618E-8 1.3310E-6 1.E-20 4.0310E-9  4.9406E-9  3.4870E-9  1.E-20
  48  12.1153000   29.926083000 2.2759E2 4.8485E-6 3.8E-4 8.5127E-6 1.4013E-7 2.7840E-8 1.2984E-6 1.E-20 4.8019E-9  5.4783E-9  3.4035E-9  1.E-20
  49  11.0070000   30.572649000 2.2857E2 4.9437E-6 3.8E-4 8.5236E-6 1.2663E-7 2.8035E-8 1.2662E-6 1.E-20 5.7076E-9  6.0571E-9  3.3170E-9  1.E-20
  50  10.0000000   31.222424000 2.2972E2 5.0484E-6 3.8E-4 8.5128E-6 1.1152E-7 2.8175E-8 1.2274E-6 1.E-20 6.6138E-9  6.5190E-9  3.1348E-9  1.E-20
  51  9.0851400    31.875669000 2.3093E2 5.1584E-6 3.8E-4 8.4933E-6 9.7208E-8 2.8293E-8 1.1870E-6 1.E-20 7.5854E-9  6.9399E-9  2.9261E-9  1.E-20
  52  8.2540200    32.532545000 2.3221E2 5.2666E-6 3.8E-4 8.4572E-6 8.5988E-8 2.8492E-8 1.1500E-6 1.E-20 8.5240E-9  7.2152E-9  2.6746E-9  1.E-20
  53  7.4989300    33.193303000 2.3357E2 5.3714E-6 3.8E-4 8.3991E-6 7.7576E-8 2.8800E-8 1.1171E-6 1.E-20 9.3208E-9  7.2677E-9  2.3769E-9  1.E-20
  54  6.8129100    33.858064000 2.3493E2 5.4761E-6 3.8E-4 8.3409E-6 6.9773E-8 2.9103E-8 1.0835E-6 1.E-20 1.0162E-8  7.2913E-9  2.1026E-9  1.E-20
  55  6.1896600    34.526869000 2.3633E2 5.5599E-6 3.8E-4 8.2779E-6 6.0873E-8 2.9314E-8 1.0354E-6 1.E-20 1.0751E-8  7.0301E-9  1.7765E-9  1.E-20
  56  5.6234200    35.199794000 2.3773E2 5.6450E-6 3.8E-4 8.2153E-6 5.3153E-8 2.9526E-8 9.8966E-7 1.E-20 1.1375E-8  6.7782E-9  1.5010E-9  1.E-20
  57  5.1089800    35.877207000 2.3939E2 5.7141E-6 3.8E-4 8.0420E-6 4.3460E-8 2.9293E-8 9.2268E-7 1.E-20 1.1860E-8  6.3402E-9  1.2309E-9  1.E-20
  58  4.6416000    36.559652000 2.4117E2 5.7766E-6 3.8E-4 7.8267E-6 3.4560E-8 2.8877E-8 8.5153E-7 1.E-20 1.2289E-8  5.8549E-9  9.9700E-10 1.E-20
  59  4.2169800    37.247535000 2.4312E2 5.8342E-6 3.8E-4 7.5811E-6 2.7376E-8 2.8491E-8 7.8349E-7 1.E-20 1.2662E-8  5.3399E-9  7.9543E-10 1.E-20
  60  3.8311700    37.941911000 2.4559E2 5.8764E-6 3.8E-4 7.2457E-6 2.1453E-8 2.8177E-8 7.1479E-7 1.E-20 1.2841E-8  4.7026E-9  6.0905E-10 1.E-20
  61  3.4806900    38.643391000 2.4806E2 5.9189E-6 3.8E-4 6.9252E-6 1.6828E-8 2.7867E-8 6.5215E-7 1.E-20 1.3022E-8  4.1413E-9  4.6636E-10 1.E-20
  62  3.1622700    39.352278000 2.5069E2 5.9458E-6 3.8E-4 6.5124E-6 1.4567E-8 2.8053E-8 6.1670E-7 1.E-20 1.3249E-8  3.5325E-9  3.4670E-10 1.E-20
  63  2.8729800    40.068885000 2.5338E2 5.9681E-6 3.8E-4 6.0947E-6 1.2986E-8 2.8390E-8 5.8946E-7 1.E-20 1.3493E-8  2.9846E-9  2.5549E-10 1.E-20
  64  2.6101600    40.793045000 2.5590E2 5.9875E-6 3.8E-4 5.6912E-6 1.1769E-8 2.8894E-8 5.6690E-7 1.E-20 1.3731E-8  2.4966E-9  1.8684E-10 1.E-20
  65  2.3713700    41.523768000 2.5785E2 5.9968E-6 3.8E-4 5.2744E-6 1.1278E-8 2.9977E-8 5.5674E-7 1.E-20 1.3934E-8  2.0182E-9  1.3312E-10 1.E-20
  66  2.1544300    42.260190000 2.5980E2 6.0060E-6 3.8E-4 4.8882E-6 1.0807E-8 3.1101E-8 5.4676E-7 1.E-20 1.4141E-8  1.6316E-9  9.4846E-11 1.E-20
  67  1.9573400    43.001419000 2.6112E2 6.0110E-6 3.8E-4 4.5322E-6 1.0428E-8 3.2346E-8 5.3872E-7 1.E-20 1.4304E-8  1.2996E-9  6.7026E-11 1.E-20
  68  1.7782800    43.746066000 2.6208E2 6.0133E-6 3.8E-4 4.2031E-6 1.0104E-8 3.3691E-8 5.3182E-7 1.E-20 1.4442E-8  1.0262E-9  4.7140E-11 1.E-20
  69  1.6156000    44.493607000 2.6303E2 6.0157E-6 3.8E-4 3.8980E-6 9.7938E-9 3.5092E-8 5.2502E-7 1.E-20 1.4582E-8  8.1039E-10 3.3155E-11 1.E-20
  70  1.4678000    45.243128000 2.6334E2 6.0144E-6 3.8E-4 3.6201E-6 9.6142E-9 3.6672E-8 5.2207E-7 1.E-20 1.4657E-8  6.3870E-10 2.3503E-11 1.E-20
  71  1.3335200    45.993701000 2.6364E2 6.0130E-6 3.8E-4 3.3620E-6 9.4426E-9 3.8326E-8 5.1920E-7 1.E-20 1.4731E-8  5.0336E-10 1.6664E-11 1.E-20
  72  1.2115300    46.745154000 2.6386E2 6.0105E-6 3.8E-4 3.1218E-6 9.2824E-9 3.9941E-8 5.1733E-7 1.E-20 1.4788E-8  3.9780E-10 1.1875E-11 1.E-20
  73  1.1006900    47.497193000 2.6388E2 6.0048E-6 3.8E-4 2.8974E-6 9.1459E-9 4.1328E-8 5.1797E-7 1.E-20 1.4799E-8  3.1658E-10 8.5717E-12 1.E-20
  74  1.0000000    48.249376000 2.6389E2 5.9991E-6 3.8E-4 2.6891E-6 9.0122E-9 4.2764E-8 5.1862E-7 1.E-20 1.4810E-8  2.5195E-10 6.1877E-12 1.E-20
  75  0.8254040    49.753644000 2.6370E2 5.9790E-6 3.8E-4 2.3122E-6 8.8414E-9 4.6715E-8 5.2571E-7 1.E-20 1.4701E-8  1.6211E-10 3.2860E-12 1.E-20
  76  0.6812920    51.257130000 2.6337E2 5.9532E-6 3.8E-4 1.9858E-6 8.5742E-9 5.0663E-8 5.3184E-7 1.E-20 1.4429E-8  1.0509E-10 1.7616E-12 1.E-20
  77  0.5623410    52.759070000 2.6291E2 5.9223E-6 3.8E-4 1.7035E-6 8.1037E-9 5.3665E-8 5.3301E-7 1.E-20 1.3951E-8  6.8458E-11 9.5044E-13 1.E-20
