TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 302.39513
PSUR = 1006.77
boresightNadirAngle = 0.
latitude = -19.810126
longitude = 171.97993
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  29  74.9896000   18.189549000 2.0162E2 4.0495E-6 3.8E-4 4.3981E-7 3.0970E-7 5.4996E-8 1.6918E-6 1.E-20 2.4319E-10 3.9961E-11 4.6577E-10 1.E-20
  30  68.1295000   18.762744000 2.0431E2 3.9738E-6 3.8E-4 6.2246E-7 3.0677E-7 5.0148E-8 1.6771E-6 1.E-20 2.6195E-10 6.0180E-11 6.0180E-10 1.E-20
  31  61.8963000   19.344324000 2.0743E2 3.9332E-6 3.8E-4 8.2547E-7 3.0374E-7 4.6536E-8 1.6640E-6 1.E-20 2.7338E-10 8.4516E-11 7.5439E-10 1.E-20
  32  56.2339000   19.934156000 2.1011E2 3.9378E-6 3.8E-4 1.0782E-6 2.9933E-7 4.0595E-8 1.6453E-6 1.E-20 2.9025E-10 1.1533E-10 9.0918E-10 1.E-20
  33  51.0896000   20.531513000 2.1268E2 3.9482E-6 3.8E-4 1.4117E-6 2.9491E-7 3.5495E-8 1.6270E-6 1.E-20 3.0888E-10 1.5805E-10 1.0977E-9  1.E-20
  34  46.4158000   21.135404000 2.1464E2 3.9801E-6 3.8E-4 1.7820E-6 2.9065E-7 3.1848E-8 1.6123E-6 1.E-20 3.3082E-10 2.0587E-10 1.2412E-9  1.E-20
  35  42.1696000   21.744697000 2.1642E2 4.0141E-6 3.8E-4 2.2449E-6 2.8573E-7 2.8491E-8 1.5963E-6 1.E-20 3.5899E-10 2.6935E-10 1.4043E-9  1.E-20
  36  38.3119000   22.358287000 2.1760E2 4.0546E-6 3.8E-4 2.8086E-6 2.7876E-7 2.5263E-8 1.5763E-6 1.E-20 4.0511E-10 3.5701E-10 1.5921E-9  1.E-20
  37  34.8071000   22.975253000 2.1872E2 4.0961E-6 3.8E-4 3.4265E-6 2.7269E-7 2.3005E-8 1.5587E-6 1.E-20 4.5833E-10 4.6130E-10 1.7568E-9  1.E-20
  38  31.6229000   23.595302000 2.1969E2 4.1391E-6 3.8E-4 3.9761E-6 2.6824E-7 2.2124E-8 1.5455E-6 1.E-20 5.2174E-10 5.6894E-10 1.8421E-9  1.E-20
  39  28.7299000   24.218226000 2.2065E2 4.1858E-6 3.8E-4 4.6454E-6 2.6158E-7 2.1591E-8 1.5293E-6 1.E-20 6.1539E-10 7.2915E-10 1.9875E-9  1.E-20
  40  26.1017000   24.843929000 2.2159E2 4.2387E-6 3.8E-4 5.4728E-6 2.5104E-7 2.1618E-8 1.5072E-6 1.E-20 7.7212E-10 9.8933E-10 2.2327E-9  1.E-20
  41  23.7136000   25.472436000 2.2248E2 4.2915E-6 3.8E-4 6.2813E-6 2.3991E-7 2.1852E-8 1.4835E-6 1.E-20 9.8298E-10 1.3259E-9  2.4863E-9  1.E-20
  42  21.5443000   26.103383000 2.2329E2 4.3432E-6 3.8E-4 6.8356E-6 2.2733E-7 2.2514E-8 1.4562E-6 1.E-20 1.2881E-9  1.7358E-9  2.7240E-9  1.E-20
  43  19.5734000   26.736737000 2.2408E2 4.3983E-6 3.8E-4 7.3666E-6 2.1472E-7 2.3277E-8 1.4298E-6 1.E-20 1.6811E-9  2.2413E-9  2.9584E-9  1.E-20
  44  17.7828000   27.372398000 2.2483E2 4.4619E-6 3.8E-4 7.7150E-6 2.0092E-7 2.4304E-8 1.4050E-6 1.E-20 2.1586E-9  2.7706E-9  3.1150E-9  1.E-20
