TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 715.54456
ScalePressure = 0.1
ConvertToOD = 1.4773361
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000        3.1715608
       650.00000        3.0523849
       700.00000        2.8879888
       750.00000        2.5943167
       800.00000        2.1682606
       850.00000        1.7760407
       900.00000        1.5974683
       950.00000        1.7122527
       975.00000        1.9097871
       1000.0000        2.2556608
       1025.0000        2.9047494
       1050.0000        3.4339414
       1075.0000        3.2842791
       1100.0000        2.9707723
       1150.0000        3.0949364
       1200.0000        3.4585333
       1250.0000        3.7456861
       1300.0000        3.9703119
       1350.0000        4.1725416
       1400.0000        4.3553252
       1900.0000        5.1077075
       2000.0000        5.1689734
       2100.0000        5.1561594
       2200.0000        5.1285949
       2250.0000        5.1148124
