TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 38 x 15
surfaceTemperature = 275.99756
PSUR = 1014.41
boresightNadirAngle = 0.
latitude = 45.0
longitude = -9.50
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
 27    17.4300000 27.50000000  2.2400E+02  4.5784E-06  3.8028E-04  5.8072E-06  1.1078E-07  1.9268E-08  9.8700E-07  2.0915E-01  4.1151E-09  4.8135E-09  5.5730E-09  1.0000E-20
 28    11.9700000 30.00000000  2.2650E+02  4.7278E-06  3.8023E-04  6.5569E-06  5.9844E-08  1.8512E-08  9.1400E-07  2.0913E-01  6.7230E-09  6.1637E-09  4.3332E-09  1.0000E-20
 29     8.0100000 32.50000000  2.3000E+02  4.8280E-06  3.8024E-04  7.3776E-06  2.4817E-08  1.7462E-08  8.3000E-07  2.0913E-01  8.2192E-09  7.2145E-09  2.4530E-09  1.0000E-20
 30     5.7460000 35.00000000  2.3650E+02  4.9035E-06  3.8027E-04  7.8427E-06  9.2617E-09  1.7145E-08  7.4600E-07  2.0915E-01  8.6348E-09  7.2852E-09  1.0966E-09  1.0000E-20
 31     4.1500000 37.50000000  2.4290E+02  4.9521E-06  3.8016E-04  7.8034E-06  6.2078E-09  1.8723E-08  6.6200E-07  2.0909E-01  9.0618E-09  6.2627E-09  4.4883E-10  1.0000E-20
 32     2.8710000 40.00000000  2.5040E+02  5.0284E-06  3.8025E-04  7.3049E-06  6.5026E-09  2.2714E-08  5.6400E-07  2.0914E-01  1.0940E-08  4.0327E-09  1.7386E-10  1.0000E-20
 33     2.0600000 42.50000000  2.5730E+02  5.1537E-06  3.8027E-04  6.2045E-06  6.6567E-09  2.7778E-08  4.6100E-07  2.0915E-01  1.2554E-08  2.1716E-09  5.4642E-11  1.0000E-20
 34     1.4910000 45.00000000  2.6420E+02  5.2282E-06  3.8023E-04  5.2532E-06  6.3436E-09  3.2794E-08  3.6300E-07  2.0913E-01  1.2935E-08  1.1507E-09  1.5700E-11  1.0000E-20
 35     1.0900000 47.50000000  2.7060E+02  5.2545E-06  3.8033E-04  4.1035E-06  5.9440E-09  3.8924E-08  2.7700E-07  2.0918E-01  1.2883E-08  6.6657E-10  4.9819E-12  1.0000E-20
 36     0.7978000 50.00000000  2.7070E+02  5.2284E-06  3.8025E-04  3.1020E-06  5.0393E-09  4.5516E-08  2.1000E-07  2.0914E-01  1.2019E-08  4.4329E-10  1.6139E-12  1.0000E-20
 37     0.4250000 55.00000000  2.6080E+02  5.1030E-06  3.8022E-04  1.8011E-06  4.6461E-09  5.6209E-08  1.6500E-07  2.0912E-01  1.0819E-08  3.3920E-10  2.2752E-13  1.0000E-20
 38     0.2190000 60.00000000  2.4700E+02  4.7531E-06  3.8025E-04  1.1007E-06  2.2851E-09  1.0197E-07  1.5000E-07  2.0914E-01  5.1861E-09  2.8518E-10  2.4827E-14  1.0000E-20
