TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 590.58826
ScalePressure = 0.1
ConvertToOD = 1.4360551
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000       0.41475433
       650.00000       0.39916933
       700.00000       0.37767076
       750.00000       0.33926639
       800.00000       0.28354979
       850.00000       0.23225807
       900.00000       0.20890562
       950.00000       0.22391632
       975.00000       0.24974847
       1000.0000       0.29497936
       1025.0000       0.37986261
       1050.0000       0.44906661
       1075.0000       0.42949483
       1100.0000       0.38849664
       1150.0000       0.40473393
       1200.0000       0.45228255
       1250.0000       0.48983437
       1300.0000       0.51920933
       1350.0000       0.54565549
       1400.0000       0.56955868
       1900.0000       0.66794991
       2000.0000       0.67596179
       2100.0000       0.67428613
       2200.0000       0.67068142
       2250.0000       0.66887909
