TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 298.5451
PSUR = 1012.73
boresightNadirAngle = 0.
latitude = -29.541152
longitude = 175.93721
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1012.7300000 0.00000000  2.9103E2 1.5565E-2 3.8E-4 3.0839E-8 3.1316E-7 9.4781E-8 1.6242E-6 1.E-20 6.6954E-12 1.7593E-11 5.6262E-11 1.E-20
  2   1000.0000000 0.10816597  2.9004E2 1.5442E-2 3.8E-4 3.1106E-8 3.1317E-7 9.4713E-8 1.6243E-6 1.E-20 6.5188E-12 1.6810E-11 5.8257E-11 1.E-20
  3   908.5140000  0.91756727  2.8357E2 1.2193E-2 3.8E-4 3.4690E-8 3.1338E-7 9.6148E-8 1.6335E-6 1.E-20 6.1209E-12 1.3683E-11 1.0053E-10 1.E-20
  4   825.4020000  1.71308170  2.8119E2 4.9099E-3 3.8E-4 4.8501E-8 3.1388E-7 1.1196E-7 1.6625E-6 1.E-20 1.2051E-11 2.8416E-11 2.4669E-10 1.E-20
  5   749.8930000  2.50135710  2.7936E2 1.8576E-3 3.8E-4 5.8952E-8 3.1426E-7 1.1951E-7 1.6788E-6 1.E-20 2.1788E-11 4.8460E-11 3.1039E-10 1.E-20
  6   681.2910000  3.28231790  2.7621E2 1.3410E-3 3.8E-4 6.2137E-8 3.1444E-7 1.1545E-7 1.6831E-6 1.E-20 2.5861E-11 4.9589E-11 2.8466E-10 1.E-20
  7   618.9660000  4.05260710  2.7164E2 1.8929E-3 3.8E-4 5.9924E-8 3.1445E-7 1.0482E-7 1.6807E-6 1.E-20 2.0674E-11 3.2915E-11 2.4842E-10 1.E-20
  8   562.3420000  4.80892540  2.6607E2 2.0426E-3 3.8E-4 5.9907E-8 3.1445E-7 1.0382E-7 1.6887E-6 1.E-20 1.5776E-11 2.1187E-11 2.2978E-10 1.E-20
  9   510.8980000  5.54975360  2.6049E2 2.0527E-3 3.8E-4 6.0005E-8 3.1445E-7 1.0502E-7 1.6963E-6 1.E-20 1.2433E-11 1.4064E-11 2.1560E-10 1.E-20
  10  464.1600000  6.27571580  2.5541E2 1.7727E-3 3.8E-4 5.8802E-8 3.1449E-7 1.1062E-7 1.6953E-6 1.E-20 1.1650E-11 1.0816E-11 2.0558E-10 1.E-20
  11  421.6980000  6.98720380  2.5016E2 1.3547E-3 3.8E-4 5.7718E-8 3.1457E-7 1.1238E-7 1.6945E-6 1.E-20 1.1626E-11 8.7372E-12 1.8058E-10 1.E-20
  12  383.1170000  7.68378270  2.4474E2 9.0913E-4 3.8E-4 5.6922E-8 3.1471E-7 1.0985E-7 1.6938E-6 1.E-20 1.2419E-11 7.4539E-12 1.4395E-10 1.E-20
  13  348.0690000  8.36541200  2.3955E2 5.9223E-4 3.8E-4 6.5538E-8 3.1477E-7 1.0658E-7 1.6955E-6 1.E-20 1.4097E-11 7.5801E-12 1.4632E-10 1.E-20
  14  316.2270000  9.03271150  2.3450E2 3.8518E-4 3.8E-4 7.8828E-8 3.1474E-7 1.0306E-7 1.6972E-6 1.E-20 1.6453E-11 8.2005E-12 1.6094E-10 1.E-20
  15  287.2980000  9.68673680  2.3005E2 2.6430E-4 3.8E-4 9.3814E-8 3.1400E-7 9.7802E-8 1.6919E-6 1.E-20 2.0954E-11 9.7023E-12 1.8925E-10 1.E-20
  16  261.0160000  10.32849900 2.2572E2 1.7636E-4 3.8E-4 1.1784E-7 3.1288E-7 8.8624E-8 1.6865E-6 1.E-20 2.7456E-11 1.2343E-11 2.3761E-10 1.E-20
  17  237.1370000  10.95849800 2.2159E2 1.1233E-4 3.8E-4 1.6246E-7 3.1113E-7 7.4519E-8 1.6806E-6 1.E-20 3.7910E-11 1.7715E-11 3.3577E-10 1.E-20
  18  215.4440000  11.57855800 2.1861E2 6.0575E-5 3.8E-4 1.7675E-7 3.1046E-7 6.9079E-8 1.6820E-6 1.E-20 5.3070E-11 2.1832E-11 3.6185E-10 1.E-20
  19  195.7350000  12.19114600 2.1619E2 3.0130E-5 3.8E-4 1.7523E-7 3.1032E-7 6.7212E-8 1.6869E-6 1.E-20 7.4842E-11 2.5529E-11 3.4718E-10 1.E-20
  20  177.8290000  12.79864500 2.1491E2 1.5278E-5 3.8E-4 1.2228E-7 3.1253E-7 7.0721E-8 1.6997E-6 1.E-20 9.0124E-11 1.9523E-11 2.3549E-10 1.E-20
  21  161.5610000  13.40267900 2.1364E2 8.5447E-6 3.8E-4 9.1315E-8 3.1437E-7 7.4365E-8 1.7118E-6 1.E-20 1.0566E-10 1.5473E-11 1.6263E-10 1.E-20
  22  146.7790000  14.00312700 2.1221E2 6.2693E-6 3.8E-4 8.5687E-8 3.1483E-7 7.7451E-8 1.7210E-6 1.E-20 1.1561E-10 1.4105E-11 1.2599E-10 1.E-20
  23  133.3520000  14.59949100 2.1074E2 5.2245E-6 3.8E-4 1.0146E-7 3.1474E-7 7.6744E-8 1.7246E-6 1.E-20 1.1911E-10 1.4580E-11 1.4600E-10 1.E-20
  24  121.1520000  15.19184000 2.0923E2 4.8508E-6 3.8E-4 1.4236E-7 3.1418E-7 7.2814E-8 1.7234E-6 1.E-20 1.1704E-10 1.6683E-11 2.2343E-10 1.E-20
  25  110.0690000  15.78052100 2.0809E2 4.5764E-6 3.8E-4 1.7663E-7 3.1384E-7 7.1207E-8 1.7232E-6 1.E-20 1.3330E-10 2.0194E-11 2.6234E-10 1.E-20
  26  100.0000000  16.36629400 2.0709E2 4.3459E-6 3.8E-4 2.1359E-7 3.1351E-7 6.9704E-8 1.7223E-6 1.E-20 1.5550E-10 2.4650E-11 2.9228E-10 1.E-20
  27  90.8518000   16.95013000 2.0662E2 4.2398E-6 3.8E-4 2.5903E-7 3.1293E-7 6.5074E-8 1.7141E-6 1.E-20 1.7132E-10 2.9126E-11 3.3580E-10 1.E-20
  28  82.5406000   17.53349500 2.0668E2 4.1311E-6 3.8E-4 3.1700E-7 3.1207E-7 6.0177E-8 1.7052E-6 1.E-20 1.9222E-10 3.6019E-11 3.9284E-10 1.E-20
