TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 590.58826
ScalePressure = 0.1
ConvertToOD = 1.3608423
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000      0.058357060
       650.00000      0.056164209
       700.00000      0.053139303
       750.00000      0.047735702
       800.00000      0.039896227
       850.00000      0.032679338
       900.00000      0.029393587
       950.00000      0.031505633
       975.00000      0.035140287
       1000.0000      0.041504398
       1025.0000      0.053447701
       1050.0000      0.063184895
       1075.0000      0.060431089
       1100.0000      0.054662529
       1150.0000      0.056947164
       1200.0000      0.063637383
       1250.0000      0.068921022
       1300.0000      0.073054165
       1350.0000      0.076775216
       1400.0000      0.080138452
       1900.0000      0.093982369
       2000.0000      0.095109664
       2100.0000      0.094873883
       2200.0000      0.094366692
       2250.0000      0.094113104
