TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 298.22244
PSUR = 1002.21
boresightNadirAngle = 0.
latitude = 4.8906652
longitude = 165.19489
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  29  74.9896000   18.206099000 2.0052E2 4.2923E-6 3.8E-4 5.5540E-7 3.0692E-7 5.8522E-8 1.7212E-6 1.E-20 2.4785E-10 6.1449E-11 7.1503E-10 1.E-20
  30  68.1295000   18.775609000 2.0280E2 4.2246E-6 3.8E-4 7.3126E-7 3.0638E-7 5.2138E-8 1.7050E-6 1.E-20 2.5300E-10 7.9141E-11 6.8812E-10 1.E-20
  31  61.8963000   19.351680000 2.0504E2 4.1575E-6 3.8E-4 9.4164E-7 3.0636E-7 4.6632E-8 1.6888E-6 1.E-20 2.3981E-10 9.3297E-11 6.5146E-10 1.E-20
  32  56.2339000   19.935069000 2.0794E2 4.0926E-6 3.8E-4 1.2423E-6 3.0516E-7 4.0393E-8 1.6797E-6 1.E-20 2.0884E-10 1.0799E-10 7.0881E-10 1.E-20
  33  51.0896000   20.526715000 2.1081E2 4.0348E-6 3.8E-4 1.6338E-6 3.0368E-7 3.5132E-8 1.6710E-6 1.E-20 1.8529E-10 1.2702E-10 7.9306E-10 1.E-20
  34  46.4158000   21.125741000 2.1307E2 4.0230E-6 3.8E-4 2.0678E-6 3.0052E-7 3.1768E-8 1.6612E-6 1.E-20 1.9031E-10 1.6049E-10 9.3488E-10 1.E-20
  35  42.1696000   21.731186000 2.1527E2 4.0153E-6 3.8E-4 2.6076E-6 2.9710E-7 2.8492E-8 1.6517E-6 1.E-20 2.0020E-10 2.0593E-10 1.0954E-9  1.E-20
  36  38.3119000   22.342737000 2.1731E2 4.0200E-6 3.8E-4 3.2561E-6 2.9288E-7 2.4981E-8 1.6430E-6 1.E-20 2.2667E-10 2.7809E-10 1.2530E-9  1.E-20
  37  34.8071000   22.960080000 2.1928E2 4.0314E-6 3.8E-4 3.9416E-6 2.8983E-7 2.2620E-8 1.6378E-6 1.E-20 2.5431E-10 3.6059E-10 1.3735E-9  1.E-20
  38  31.6229000   23.582941000 2.2112E2 4.0566E-6 3.8E-4 4.4569E-6 2.8902E-7 2.1742E-8 1.6397E-6 1.E-20 2.7871E-10 4.2259E-10 1.3587E-9  1.E-20
  39  28.7299000   24.210771000 2.2269E2 4.0880E-6 3.8E-4 5.0534E-6 2.8714E-7 2.1183E-8 1.6383E-6 1.E-20 3.1542E-10 5.0878E-10 1.3692E-9  1.E-20
  40  26.1017000   24.842471000 2.2379E2 4.1304E-6 3.8E-4 5.7535E-6 2.8337E-7 2.1140E-8 1.6312E-6 1.E-20 3.7816E-10 6.4222E-10 1.4264E-9  1.E-20
  41  23.7136000   25.477178000 2.2466E2 4.1711E-6 3.8E-4 6.4740E-6 2.7831E-7 2.1393E-8 1.6205E-6 1.E-20 4.5987E-10 8.0940E-10 1.4929E-9  1.E-20
  42  21.5443000   26.113702000 2.2505E2 4.2075E-6 3.8E-4 7.1116E-6 2.7070E-7 2.2267E-8 1.6029E-6 1.E-20 5.7526E-10 1.0159E-9  1.5753E-9  1.E-20
  43  19.5734000   26.751333000 2.2534E2 4.2435E-6 3.8E-4 7.7573E-6 2.6373E-7 2.3208E-8 1.5873E-6 1.E-20 7.1247E-10 1.2501E-9  1.6369E-9  1.E-20
  44  17.7828000   27.389460000 2.2531E2 4.2776E-6 3.8E-4 8.2888E-6 2.5824E-7 2.4288E-8 1.5775E-6 1.E-20 8.5619E-10 1.4504E-9  1.6236E-9  1.E-20
  45  16.1560000   28.027649000 2.2529E2 4.3111E-6 3.8E-4 8.8326E-6 2.5283E-7 2.5386E-8 1.5677E-6 1.E-20 1.0337E-9  1.6861E-9  1.6100E-9  1.E-20
