TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 301.70966
ScalePressure = 0.1
ConvertToOD = 1.2599683
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000      0.076946750
       650.00000      0.075401217
       700.00000      0.073662572
       750.00000      0.072062694
       800.00000      0.070310794
       850.00000      0.067275658
       900.00000      0.063493662
       950.00000      0.066494338
       975.00000      0.068748295
       1000.0000      0.071002252
       1025.0000      0.072069451
       1050.0000      0.073136523
       1075.0000      0.074203730
       1100.0000      0.075270265
       1150.0000      0.074792467
       1200.0000      0.074314661
       1250.0000      0.073839374
       1300.0000      0.073373899
       1350.0000      0.072908424
       1400.0000      0.072442815
       1900.0000      0.072048910
       2000.0000      0.072409816
       2100.0000      0.071745530
       2200.0000      0.071103908
       2250.0000      0.070933864
