# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   288.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  1
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
19   75.65000  18.0000 216.7000 1.5879E-06 7.7146E-10 3.4200E-11 4.7800E-11 0.0000E+00 3.8273E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
20   64.67000  19.0000 216.7000 2.0314E-06 1.0607E-09 3.3900E-11 3.9700E-11 0.0000E+00 3.8527E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
21   55.29000  20.0000 216.7000 2.5804E-06 1.3908E-09 3.4300E-11 3.1900E-11 0.0000E+00 3.9021E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
22   47.29000  21.0000 217.6000 3.0298E-06 1.7610E-09 3.6800E-11 2.6700E-11 0.0000E+00 3.9774E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
23   40.47000  22.0000 218.6000 3.6500E-06 2.1618E-09 4.0300E-11 2.2800E-11 0.0000E+00 4.0683E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
24   34.67000  23.0000 219.6000 4.1699E-06 2.5811E-09 4.5000E-11 2.0700E-11 0.0000E+00 4.2019E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
25   29.72000  24.0000 220.6000 4.6304E-06 3.0622E-09 5.0600E-11 1.9000E-11 0.0000E+00 4.3031E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
26   25.49000  25.0000 221.6000 5.1215E-06 3.7426E-09 5.8200E-11 1.7500E-11 0.0000E+00 4.4280E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
27   17.43000  27.5000 224.0000 5.8072E-06 4.8135E-09 7.2100E-11 1.5400E-11 0.0000E+00 4.5783E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
28   11.97000  30.0000 226.5000 6.5569E-06 6.1637E-09 8.7300E-11 1.3400E-11 0.0000E+00 4.7278E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
29    8.01000  32.5000 230.0000 7.3776E-06 7.2145E-09 1.0100E-11 1.2100E-11 0.0000E+00 4.8280E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
