# AFGL atmospheric constituent profile. midlatitude summer. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   294.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
19   81.20000  18.0000 216.8000 1.0008E-06 7.7164E-10 3.4200E-11 4.7800E-11 0.0000E+00 3.1526E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
20   69.50000  19.0000 217.9000 1.5012E-06 1.0609E-09 3.3900E-11 3.9700E-11 0.0000E+00 3.2026E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
21   59.50000  20.0000 219.2000 2.0010E-06 1.3907E-09 3.4300E-11 3.1900E-11 0.0000E+00 3.3016E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
22   51.00000  21.0000 220.4000 2.4015E-06 1.7611E-09 3.6800E-11 2.6700E-11 0.0000E+00 3.4521E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
23   43.70000  22.0000 221.6000 2.9014E-06 2.1610E-09 4.0300E-11 2.2800E-11 0.0000E+00 3.6017E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
24   37.60000  23.0000 222.8000 3.4019E-06 2.5814E-09 4.5000E-11 2.0700E-11 0.0000E+00 3.8521E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
25   32.20000  24.0000 223.9000 4.0014E-06 3.0611E-09 5.0600E-11 1.9000E-11 0.0000E+00 4.0014E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
26   27.70000  25.0000 225.1000 4.8033E-06 3.7426E-09 5.8200E-11 1.7500E-11 0.0000E+00 4.2029E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
27   19.07000  27.5000 228.4500 6.0039E-06 4.8131E-09 7.2100E-11 1.5400E-11 0.0000E+00 4.4529E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
28   13.20000  30.0000 233.7000 7.0052E-06 6.1646E-09 8.7300E-11 1.3400E-11 0.0000E+00 4.7035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
