# AFGL atmospheric constituent profile. midlatitude winter. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   272.2000
SurfacePressure(hPa) =  1018.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
19   73.60000  18.0000 215.7000 1.8012E-06 7.7151E-10 3.4200E-11 4.7800E-11 0.0000E+00 4.5030E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
20   62.80000  19.0000 215.2000 2.3015E-06 1.0607E-09 3.3900E-11 3.9700E-11 0.0000E+00 4.5029E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
21   53.70000  20.0000 215.2000 2.9026E-06 1.3913E-09 3.4300E-11 3.1900E-11 0.0000E+00 4.5041E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
22   45.80000  21.0000 215.2000 3.5035E-06 1.7617E-09 3.6800E-11 2.6700E-11 0.0000E+00 4.5045E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
23   39.10000  22.0000 215.2000 3.9030E-06 2.1617E-09 4.0300E-11 2.2800E-11 0.0000E+00 4.5335E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
24   33.40000  23.0000 215.2000 4.3033E-06 2.5820E-09 4.5000E-11 2.0700E-11 0.0000E+00 4.5535E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
25   28.60000  24.0000 215.2000 4.7035E-06 3.0623E-09 5.0600E-11 1.9000E-11 0.0000E+00 4.6035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
26   24.40000  25.0000 215.2000 5.1036E-06 3.7426E-09 5.8200E-11 1.7500E-11 0.0000E+00 4.6533E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
27   16.46000  27.5000 215.5000 5.6039E-06 4.8133E-09 7.2100E-11 1.5400E-11 0.0000E+00 4.7033E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
28   11.10000  30.0000 217.4000 6.1048E-06 6.1649E-09 8.7300E-11 1.3400E-11 0.0000E+00 4.7538E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
