# AFGL atmospheric constituent profile. subarctic winter. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   257.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
19   68.82000  18.0000 215.4000 2.4520E-06 7.7164E-10 3.4200E-11 4.7800E-11 0.0000E+00 4.7039E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
20   58.75000  19.0000 214.8000 3.1016E-06 1.0605E-09 3.3900E-11 3.9700E-11 0.0000E+00 4.7524E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
21   50.14000  20.0000 214.2000 3.7035E-06 1.3913E-09 3.4300E-11 3.1900E-11 0.0000E+00 4.8045E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
22   42.77000  21.0000 213.6000 4.0020E-06 1.7609E-09 3.6800E-11 2.6700E-11 0.0000E+00 4.8524E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
23   36.47000  22.0000 213.0000 4.2029E-06 2.1615E-09 4.0300E-11 2.2800E-11 0.0000E+00 4.9034E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
24   31.09000  23.0000 212.4000 4.5035E-06 2.5820E-09 4.5000E-11 2.0700E-11 0.0000E+00 4.9538E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
25   26.49000  24.0000 211.8000 4.6032E-06 3.0621E-09 5.0600E-11 1.9000E-11 0.0000E+00 5.0035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
26   22.56000  25.0000 211.2000 4.7032E-06 3.7426E-09 5.8200E-11 1.7500E-11 0.0000E+00 5.0034E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
27   15.13000  27.5000 213.6000 4.9035E-06 4.8134E-09 7.2100E-11 1.5400E-11 0.0000E+00 5.0035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
28   10.20000  30.0000 216.0000 5.4043E-06 6.1649E-09 8.7300E-11 1.3400E-11 0.0000E+00 5.0040E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
