# AFGL atmospheric constituent profile. tropical. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   299.7000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
19   78.90000  18.0000 198.8000 5.0042E-07 7.7165E-10 3.4200E-11 4.7800E-11 0.0000E+00 2.7523E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
20   66.60000  19.0000 202.7000 9.5050E-07 1.0606E-09 3.3900E-11 3.9700E-11 0.0000E+00 2.6014E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
21   56.50000  20.0000 206.7000 1.4009E-06 1.3908E-09 3.4300E-11 3.1900E-11 0.0000E+00 2.6016E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
22   48.00000  21.0000 210.7000 1.8011E-06 1.7610E-09 3.6800E-11 2.6700E-11 0.0000E+00 2.6516E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
23   40.90000  22.0000 214.6000 2.4010E-06 2.1609E-09 4.0300E-11 2.2800E-11 0.0000E+00 2.8012E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
24   35.00000  23.0000 217.0000 3.4023E-06 2.5817E-09 4.5000E-11 2.0700E-11 0.0000E+00 2.9020E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
25   30.00000  24.0000 219.2000 4.3032E-06 3.0622E-09 5.0600E-11 1.9000E-11 0.0000E+00 3.2024E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
26   25.70000  25.0000 221.4000 5.4035E-06 3.7424E-09 5.8200E-11 1.7500E-11 0.0000E+00 3.2521E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
27   17.63000  27.5000 227.0000 7.8053E-06 4.8132E-09 7.2100E-11 1.5400E-11 0.0000E+00 3.6024E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
28   12.20000  30.0000 232.3000 9.3077E-06 6.1651E-09 8.7300E-11 1.3400E-11 0.0000E+00 4.0033E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
29    8.52000  32.5000 237.7000 9.8572E-06 7.2153E-09 1.0100E-11 1.2100E-11 0.0000E+00 4.3031E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
30    6.00000  35.0000 243.1000 9.7074E-06 7.2856E-09 1.1100E-10 1.1600E-11 0.0000E+00 4.6035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
31    4.26000  37.5000 248.5000 8.8097E-06 6.2669E-09 1.1300E-10 1.2100E-11 0.0000E+00 4.9054E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
32    3.05000  40.0000 254.0000 7.5050E-06 4.0327E-09 1.0300E-10 1.3600E-11 0.0000E+00 5.2035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
33    2.20000  42.5000 259.4000 5.9041E-06 2.1715E-09 7.9500E-11 1.6500E-11 0.0000E+00 5.5038E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
34    1.59000  45.0000 264.8000 4.5031E-06 1.1508E-09 4.8200E-11 2.1000E-11 0.0000E+00 5.7039E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
35    1.16000  47.5000 269.6000 3.4529E-06 6.6656E-10 1.6300E-11 2.7700E-11 0.0000E+00 5.9050E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
36    0.85400  50.0000 270.2000 2.8022E-06 4.4335E-10 5.1000E-12 3.5600E-11 0.0000E+00 6.0047E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
37    0.45600  55.0000 263.4000 1.8016E-06 3.3930E-10 2.0000E-12 4.5900E-11 0.0000E+00 6.0053E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
38    0.23900  60.0000 253.1000 1.1007E-06 2.8519E-10 1.0500E-12 5.1500E-11 0.0000E+00 6.0040E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
