TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 47 x 10
surfaceTemperature = 314.783
PSUR = 1013.91
boresightNadirAngle = 0.
latitude = 36.0325
longitude = -76.973
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
-     hPa          m            K        VMR       VMR       VMR        VMR        VMR        VMR       
  1   1013.9100000 0.000000000  3.1389E2 2.5174E-2 6.3229E-8 3.1300E-10 1.6906E-9  1.9735E-9  1.6454E-7 
  2   1011.5400000 0.021670434  3.1307E2 2.4686E-2 6.3391E-8 3.2151E-10 1.6963E-9  1.9784E-9  1.6488E-7 
  3   1008.4300000 0.050114817  3.1246E2 2.4336E-2 6.3608E-8 3.1281E-10 1.6960E-9  1.9846E-9  1.6509E-7 
  4   1003.8600000 0.091982451  3.1180E2 2.4029E-2 6.3888E-8 3.0443E-10 1.6953E-9  1.9929E-9  1.6552E-7 
  5   997.4630000  0.150764870  3.1098E2 2.3813E-2 6.4262E-8 2.9597E-10 1.6951E-9  2.0041E-9  1.6623E-7 
  6   988.3240000  0.235142730  3.0994E2 2.3630E-2 6.4763E-8 2.8738E-10 1.6969E-9  2.0192E-9  1.6731E-7 
  7   976.4430000  0.345594080  3.0867E2 2.3455E-2 6.5397E-8 2.7851E-10 1.7008E-9  2.0386E-9  1.6876E-7 
  8   961.8200000  0.482761540  3.0712E2 2.3272E-2 6.6199E-8 2.6868E-10 1.7066E-9  2.0633E-9  1.7066E-7 
  9   943.5420000  0.656187950  3.0521E2 2.3052E-2 6.7208E-8 2.5686E-10 1.7128E-9  2.0947E-9  1.7308E-7 
  10  921.6080000  0.867328520  3.0293E2 2.2738E-2 6.8443E-8 2.4154E-10 1.7156E-9  2.1336E-9  1.7607E-7 
  11  896.0180000  1.118000400  3.0022E2 2.2034E-2 6.9934E-8 2.1905E-10 1.7043E-9  2.1815E-9  1.7969E-7 
  12  866.7730000  1.410487400  2.9714E2 2.0989E-2 7.1785E-8 1.6349E-10 1.6016E-9  2.2518E-9  1.8431E-7 
  13  833.8720000  1.747719400  2.9379E2 1.8644E-2 6.5563E-8 8.7401E-11 8.6945E-10 1.1190E-9  1.4832E-7 
  14  797.3160000  2.133654600  2.9064E2 1.4328E-2 6.1410E-8 6.9002E-11 6.3279E-10 5.0389E-10 1.2336E-7 
  15  756.1900000  2.583706900  2.8695E2 1.1516E-2 6.1758E-8 5.2999E-11 5.5041E-10 4.2845E-10 1.1595E-7 
  16  710.4940000  3.105989000  2.8304E2 8.8342E-3 6.6642E-8 2.7547E-11 4.1852E-10 2.0046E-10 9.5726E-8 
  17  663.8840000  3.666932500  2.7985E2 5.7721E-3 6.8927E-8 1.9344E-11 3.2655E-10 3.7853E-11 8.8155E-8 
  18  617.2750000  4.261363300  2.7663E2 3.4322E-3 6.2470E-8 1.7921E-11 2.5543E-10 7.0265E-13 8.6022E-8 
  19  570.6650000  4.892662800  2.7162E2 1.8349E-3 5.7383E-8 1.3560E-11 1.7582E-10 8.3278E-12 8.0866E-8 
  20  518.5720000  5.647545100  2.6623E2 9.7732E-4 5.9286E-8 8.7079E-12 1.1778E-10 1.6015E-11 8.1906E-8 
  21  467.3930000  6.450159300  2.6059E2 4.9047E-4 6.4976E-8 8.0481E-12 8.5492E-11 7.8519E-12 8.0818E-8 
  22  420.7840000  7.243479800  2.5441E2 2.5979E-4 7.5082E-8 1.0401E-11 6.8875E-11 5.3988E-12 8.1060E-8 
  23  373.2600000  8.125884700  2.4762E2 1.7594E-4 8.2799E-8 1.0900E-11 5.5203E-11 6.1491E-12 8.1340E-8 
  24  325.7370000  9.099896300  2.3992E2 1.4102E-4 8.7341E-8 9.8899E-12 4.2589E-11 6.9210E-12 8.1303E-8 
  25  288.9990000  9.928883600  2.3216E2 1.9416E-4 9.5211E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
