TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 48 x 10
surfaceTemperature = 311.698
PSUR = 1007.28
boresightNadirAngle = 0.
latitude = 40.3
longitude = -74.7
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
-     hPa          m            K        VMR       VMR       VMR        VMR        VMR        VMR       
  1   1007.2800000 0.000000000  3.1237E2 2.1558E-2 1.0220E-7 3.5289E-9  2.8553E-9  1.1632E-8  3.1626E-7 
  2   1004.9200000 0.021585797  3.1152E2 2.0869E-2 1.0239E-7 3.7511E-9  2.8745E-9  1.1675E-8  3.2005E-7 
  3   1001.8400000 0.049758860  3.1087E2 2.0440E-2 1.0294E-7 3.5500E-9  2.8643E-9  1.1712E-8  3.1764E-7 
  4   997.2990000  0.091363866  3.1023E2 2.0200E-2 1.0355E-7 3.3944E-9  2.8568E-9  1.1760E-8  3.1633E-7 
  5   990.9480000  0.149731230  3.0943E2 2.0002E-2 1.0429E-7 3.2603E-9  2.8512E-9  1.1821E-8  3.1587E-7 
  6   981.8750000  0.233515070  3.0841E2 1.9816E-2 1.0520E-7 3.1364E-9  2.8471E-9  1.1898E-8  3.1616E-7 
  7   970.0810000  0.343181730  3.0717E2 1.9639E-2 1.0631E-7 3.0146E-9  2.8431E-9  1.1987E-8  3.1708E-7 
  8   955.5640000  0.479389230  3.0563E2 1.9439E-2 1.0764E-7 2.8779E-9  2.8367E-9  1.2082E-8  3.1846E-7 
  9   937.4190000  0.651600810  3.0375E2 1.9173E-2 1.0922E-7 2.7005E-9  2.8207E-9  1.2155E-8  3.1988E-7 
  10  915.6440000  0.861272520  3.0150E2 1.8723E-2 1.1085E-7 2.4272E-9  2.7756E-9  1.2119E-8  3.1988E-7 
  11  890.2400000  1.110177400  2.9885E2 1.7277E-2 1.1054E-7 1.7343E-9  2.5712E-9  1.1346E-8  3.0656E-7 
  12  861.2070000  1.400658400  2.9612E2 1.4598E-2 7.7902E-8 5.6123E-10 1.3822E-9  5.4011E-9  1.8151E-7 
  13  828.5450000  1.735955100  2.9345E2 1.0969E-2 5.1388E-8 4.1200E-11 4.7774E-10 5.2299E-10 9.4290E-8 
  14  792.2540000  2.120260300  2.9054E2 8.0193E-3 4.9199E-8 1.8239E-11 3.5273E-10 3.1838E-11 8.5453E-8 
  15  751.4260000  2.569113000  2.8729E2 6.2990E-3 5.1292E-8 2.6372E-11 3.7348E-10 1.1482E-10 9.2141E-8 
  16  706.0620000  3.091702000  2.8438E2 6.8692E-3 5.3586E-8 2.9632E-11 4.0638E-10 2.2120E-10 1.0068E-7 
  17  659.7910000  3.653402200  2.8002E2 6.3932E-3 5.4758E-8 2.0738E-11 3.3695E-10 1.4703E-10 9.3673E-8 
  18  613.5200000  4.245792300  2.7506E2 3.9847E-3 5.9259E-8 1.4309E-11 2.2713E-10 4.2941E-11 8.3402E-8 
  19  567.2490000  4.873049600  2.7033E2 1.6604E-3 6.2410E-8 1.1835E-11 1.5330E-10 8.0229E-12 8.0588E-8 
  20  515.5340000  5.623995100  2.6546E2 1.0221E-3 7.0149E-8 1.0940E-11 1.1663E-10 4.5349E-12 8.1167E-8 
  21  464.7260000  6.422975300  2.5972E2 9.1618E-4 7.9933E-8 1.0987E-11 9.8184E-11 7.9488E-12 8.1433E-8 
  22  418.4550000  7.211924000  2.5322E2 5.9364E-4 8.6441E-8 1.1364E-11 7.8982E-11 9.3764E-12 8.1296E-8 
  23  371.2760000  8.088392100  2.4631E2 3.2603E-4 8.6445E-8 9.2334E-12 5.7665E-11 7.5732E-12 8.1968E-8 
  24  324.0980000  9.056232700  2.3914E2 2.3074E-4 8.2016E-8 6.9691E-12 4.4228E-11 7.2169E-12 8.1602E-8 
  25  282.3630000  10.009447000 2.3207E2 1.7059E-4 8.8201E-8 8.9418E-12 3.6276E-11 7.5188E-12 8.0540E-8 
  26  246.0720000  10.932948000 2.2526E2 1.1765E-4 9.2760E-8 1.1046E-11 3.1606E-11 1.0870E-11 8.1552E-8 
  27  214.3170000  11.832684000 2.1825E2 6.6380E-5 9.5093E-8 1.2026E-11 2.6807E-11 1.0999E-11 8.0289E-8 
  28  176.9300000  13.039565000 2.1041E2 1.9730E-5 1.6462E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  29  127.8370000  15.036762000 2.0784E2 5.9437E-6 3.0922E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  30  92.3658000   17.034282000 2.1018E2 4.5140E-6 4.8286E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  31  66.6034000   19.078115000 2.1462E2 4.2698E-6 1.3738E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
