TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 47 x 10
surfaceTemperature = 308.163
PSUR = 974.48401
boresightNadirAngle = 0.
latitude = 42.7
longitude = -74.1
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure    Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
-     hPa         m            K        VMR       VMR       VMR        VMR        VMR        VMR       
  1   974.4840000 0.000000000  3.1170E2 2.7196E-2 5.5121E-8 4.4765E-10 1.2111E-9  2.2950E-9  1.4206E-7 
  2   972.2100000 0.021497385  3.1089E2 2.6441E-2 5.5475E-8 4.7973E-10 1.2222E-9  2.3091E-9  1.4263E-7 
  3   969.2370000 0.049606815  3.1025E2 2.5969E-2 5.5835E-8 4.4584E-10 1.2214E-9  2.3193E-9  1.4258E-7 
  4   964.8650000 0.091005922  3.0955E2 2.5571E-2 5.6217E-8 4.1963E-10 1.2207E-9  2.3302E-9  1.4278E-7 
  5   958.7430000 0.149133000  3.0865E2 2.5165E-2 5.6662E-8 3.9743E-10 1.2203E-9  2.3433E-9  1.4325E-7 
  6   949.9980000 0.232532840  3.0756E2 2.4796E-2 5.7213E-8 3.7747E-10 1.2207E-9  2.3596E-9  1.4404E-7 
  7   938.6300000 0.341670680  3.0629E2 2.4474E-2 5.7885E-8 3.5885E-10 1.2214E-9  2.3789E-9  1.4513E-7 
  8   924.6380000 0.477186920  3.0473E2 2.4079E-2 5.8707E-8 3.3972E-10 1.2214E-9  2.3998E-9  1.4653E-7 
  9   907.1490000 0.648485620  3.0283E2 2.3556E-2 5.9716E-8 3.1773E-10 1.2174E-9  2.4169E-9  1.4818E-7 
  10  886.1610000 0.856997650  3.0058E2 2.2833E-2 6.0904E-8 2.8700E-10 1.1990E-9  2.4042E-9  1.4965E-7 
  11  861.6750000 1.104522200  2.9798E2 2.1714E-2 6.1828E-8 2.2074E-10 1.0888E-9  2.1179E-9  1.4689E-7 
  12  833.6920000 1.393322000  2.9511E2 1.9158E-2 5.6932E-8 8.2377E-11 7.0993E-10 8.3333E-10 1.2283E-7 
  13  802.2110000 1.726393400  2.9218E2 1.5361E-2 5.3351E-8 3.6401E-11 5.2412E-10 3.4112E-10 1.0581E-7 
  14  767.2310000 2.107615700  2.8883E2 1.2512E-2 5.0968E-8 2.3209E-11 4.3588E-10 1.8336E-10 9.6185E-8 
  15  727.8790000 2.551828600  2.8495E2 9.8664E-3 5.0349E-8 1.7469E-11 3.6980E-10 1.2725E-10 9.1605E-8 
  16  684.1550000 3.066667000  2.8073E2 7.3584E-3 4.9954E-8 1.4130E-11 2.9936E-10 5.9010E-11 8.5743E-8 
  17  639.5570000 3.618169000  2.7661E2 4.7524E-3 5.1417E-8 1.3926E-11 2.3402E-10 1.0846E-11 8.0567E-8 
  18  594.9580000 4.200476900  2.7256E2 2.5957E-3 5.4936E-8 1.5764E-11 1.7797E-10 5.8614E-13 7.9234E-8 
  19  550.3590000 4.818360400  2.6827E2 1.4048E-3 5.8259E-8 1.4381E-11 1.3710E-10 4.6636E-12 8.0736E-8 
  20  500.5140000 5.558171500  2.6329E2 9.4853E-4 6.0386E-8 9.9363E-12 1.0320E-10 6.3918E-12 8.1887E-8 
  21  451.5430000 6.344743200  2.5774E2 7.1710E-4 6.4926E-8 7.6951E-12 7.8462E-11 8.7955E-12 8.2054E-8 
  22  406.9440000 7.121524800  2.5161E2 6.3081E-4 7.4765E-8 9.1361E-12 7.0166E-11 1.0128E-11 8.1752E-8 
  23  361.4710000 7.984160300  2.4473E2 4.3953E-4 8.6184E-8 1.1879E-11 5.8819E-11 1.0781E-11 8.0971E-8 
  24  315.9980000 8.935862800  2.3779E2 2.4846E-4 8.8676E-8 1.0297E-11 4.2143E-11 9.7982E-12 8.1249E-8 
  25  275.7710000 9.872490900  2.3098E2 1.5692E-4 8.7451E-8 8.3513E-12 3.4862E-11 9.0462E-12 7.9708E-8 
  26  244.2030000 10.685193000 2.2447E2 1.6195E-4 8.4228E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  27  176.9300000 12.742829000 2.1045E2 9.6986E-6 2.0141E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  28  127.8370000 14.742372000 2.0833E2 5.5913E-6 3.2120E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  29  92.3655000  16.747581000 2.1134E2 4.4596E-6 6.2129E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  30  66.6032000  18.803126000 2.1594E2 4.2701E-6 1.5488E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  31  47.6437000  20.948420000 2.1904E2 4.5379E-6 2.8114E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  32  33.8098000  23.173895000 2.2136E2 4.7515E-6 4.5474E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  33  23.7302000  25.500403000 2.2441E2 4.9193E-6 6.5886E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  34  16.4569000  27.952476000 2.2968E2 5.1466E-6 8.2300E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  35  11.2767000  30.541505000 2.3418E2 5.4358E-6 8.5794E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  36  7.6196200   33.286288000 2.3963E2 5.6920E-6 8.3800E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  37  5.0465800   36.240155000 2.4510E2 5.8737E-6 7.7711E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  38  3.2762100   39.417199000 2.5165E2 6.0573E-6 6.0597E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  39  2.0847500   42.847044000 2.6038E2 6.3395E-6 4.1654E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  40  1.3002900   46.523139000 2.6457E2 6.5095E-6 3.0038E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  41  0.7949100   50.353603000 2.5953E2 6.6515E-6 2.1975E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  42  0.4755810   54.273915000 2.5372E2 6.6843E-6 1.4471E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  43  0.2783010   58.248479000 2.4452E2 6.6364E-6 9.7753E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  44  0.1592700   62.267224000 2.3856E2 6.5270E-6 6.8273E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  45  0.0891204   66.371219000 2.3505E2 6.4202E-6 4.5627E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  46  0.0473604   70.792364000 2.3293E2 6.3205E-6 2.1469E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  47  0.0197754   76.861917000 2.3150E2 6.1725E-6 4.9382E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
